Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Scipt Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength[nm],Rsq of Ref.spectrum(Nth),Max_transmission of Ref.spec.(dB),Rsq of IV,I at -1V[A],I at 1V[A]
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-110901,process LMZ,3.600000000000002,B1,magdzi83,-4,-1,0,No Error,1310,0.9986290297023102,-6.560473442077637,-9.15886,1.177069e-10,1.276365e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-121641,process LMZ,3.600000000000002,B1,magdzi83,0,-4,0,No Error,1310,0.999141820590945,-6.075681686401367,-10.23382,1.202628e-10,1.28223e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-074558,process LMZ,3.600000000000002,B1,magdzi83,0,0,0,No Error,1310,0.9977408429134613,-5.880475044250488,-8.948503,1.195505e-10,1.27008e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-100126,process LMZ,3.600000000000002,B1,magdzi83,0,2,0,No Error,1310,0.9987561468965986,-5.243660926818848,-3.428094,1.202209e-10,1.329992e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-092738,process LMZ,3.600000000000002,B1,magdzi83,2,-1,0,No Error,1310,0.9981088963710268,-5.5092267990112305,-3.622555,1.171204e-10,1.316585e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-125034,process LMZ,3.600000000000002,B1,magdzi83,2,-3,0,No Error,1310,0.998220728621873,-6.574255466461182,-3.607676,1.208074e-10,1.336695e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-135811,process LMZ,3.600000000000002,B1,magdzi83,2,2,0,No Error,1310,0.9985474879488312,-5.624571323394775,-3.52385,1.203885e-10,1.311139e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-132424,process LMZ,3.600000000000002,B1,magdzi83,3,0,0,No Error,1310,0.9982965576823872,-6.167811393737793,-9.467288,1.167433e-10,1.296475e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-205948,process LMZ,3.600000000000002,B1,magdzi83,-1,-1,0,No Error,1310,0.998630178206852,-5.4470319747924805,0.9999999,2.139364e-07,0.004848104
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-210815,process LMZ,3.600000000000002,B1,magdzi83,-1,-3,0,No Error,1310,0.9991151081755777,-5.554928302764893,0.9999999,2.206549e-07,0.004275683
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-223251,process LMZ,3.600000000000002,B1,magdzi83,-1,3,0,No Error,1310,0.9990583283783199,-6.114597320556641,0.9999999,1.337233e-07,0.004415526
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-215030,process LMZ,3.600000000000002,B1,magdzi83,-3,-3,0,No Error,1310,0.9987358439609512,-6.387868881225586,0.9999999,1.893912e-07,0.00458204
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-213337,process LMZ,3.600000000000002,B1,magdzi83,-3,0,0,No Error,1310,0.9994061356913808,-5.391937732696533,0.9999999,1.735403e-07,0.004446676
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-224118,process LMZ,3.600000000000002,B1,magdzi83,-3,2,0,No Error,1310,0.9992159759336712,-6.205504417419434,0.9999999,1.435766e-07,0.003458655
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-214204,process LMZ,3.600000000000002,B1,magdzi83,-4,-1,0,No Error,1310,0.9986022961749008,-6.746885776519775,0.9999999,1.996838e-07,0.004697751
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-215859,process LMZ,3.600000000000002,B1,magdzi83,0,-4,0,No Error,1310,0.9990386186197637,-6.246076583862305,0.9999999,1.758982e-07,0.00446655
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-205120,process LMZ,3.600000000000002,B1,magdzi83,0,0,0,No Error,1310,0.9976065729412679,-5.822120189666748,0.9999999,2.389178e-07,0.00438493
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-212511,process LMZ,3.600000000000002,B1,magdzi83,0,2,0,No Error,1310,0.9989382468463749,-5.249536037445068,0.9999999,1.709376e-07,0.003800664
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-211644,process LMZ,3.600000000000002,B1,magdzi83,2,-1,0,No Error,1310,0.997997493026505,-5.542170524597168,0.9999999,1.885348e-07,0.004698496
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-220728,process LMZ,3.600000000000002,B1,magdzi83,2,-3,0,No Error,1310,0.9981731101287212,-6.589053153991699,0.9999999,1.556117e-07,0.004886194
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-222421,process LMZ,3.600000000000002,B1,magdzi83,2,2,0,No Error,1310,0.9984358826732102,-5.626934051513672,0.9999999,1.302277e-07,0.004633154
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190603-221553,process LMZ,3.600000000000002,B1,magdzi83,3,0,0,No Error,1310,0.9982716651124706,-6.191649913787842,0.9999999,1.358143e-07,0.004295274
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-161717,process LMZ,3.600000000000002,B1,magdzi83,-1,-1,0,No Error,1310,0.9988601405137916,-5.43178653717041,-9.87729,1.17707e-10,1.333762e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-165102,process LMZ,3.600000000000002,B1,magdzi83,-1,-3,0,No Error,1310,0.9991726040266151,-5.667716026306152,-9.864336,1.184192e-10,1.283487e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-222920,process LMZ,3.600000000000002,B1,magdzi83,-1,3,0,No Error,1310,0.9989183132278443,-6.43640661239624,-11.11276,1.196762e-10,1.271337e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-194007,process LMZ,3.600000000000002,B1,magdzi83,-3,-3,0,No Error,1310,0.998794554286321,-6.657200336456299,-9.31362,1.205979e-10,1.252065e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-183234,process LMZ,3.600000000000002,B1,magdzi83,-3,0,0,No Error,1310,0.9991919982265576,-5.393341064453125,-8.8338,1.227765e-10,1.257093e-10
